commit,file,MI_Before,MI_After,CC_Before,CC_After,LOC_Before,LOC_After,MI_Change,CC_Change,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_Class,Token_Class,Classes_Agree
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/__init__.py,,97.04976883877337,,0.0,,10.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/_saslprep.py,,80.38746027433999,,10.0,,101.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/arcfour.py,,76.84354960462845,,9.0,,35.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/ascii85.py,,75.0974615859849,,13.0,,70.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/cache.py,,64.78213537470343,,20.0,,83.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/casting.py,,100.0,,4.0,,15.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/ccitt.py,,14.650647866253614,,117.0,,614.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/cmapdb.py,,18.220830076924823,,164.0,,471.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/converter.py,,13.397894773303657,,137.0,,1193.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/data_structures.py,,73.26408082906325,,18.0,,52.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/encodingdb.py,,60.63593111357677,,32.0,,126.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/fontmetrics.py,,44.886564330302456,,13.0,,4464.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/glyphlist.py,,64.97364823090413,,7.0,,4366.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/high_level.py,,65.53897743825948,,21.0,,249.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/image.py,,34.73236119588361,,67.0,,297.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/jbig2.py,,26.50644931789175,,77.0,,373.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/latin_enc.py,,100.0,,0.0,,246.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/layout.py,,14.81277689786312,,258.0,,986.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/lzw.py,,58.96448214981621,,27.0,,105.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdf2zh.py,,50.338063867373826,,24.0,,349.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfcolor.py,,82.2034846779128,,4.0,,37.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfcompiler.py,,63.230667889136434,,4.0,,17.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfdevice.py,,26.588183311201558,,64.0,,316.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfdocument.py,,0.7719810938935441,,273.0,,1069.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfexceptions.py,,100.0,,8.0,,33.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdffont.py,,7.870696047434154,,215.0,,1189.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfinterp.py,,5.799190590255807,,223.0,,1042.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfpage.py,,58.93077908194612,,32.0,,194.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdfparser.py,,59.360551533221155,,41.0,,166.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/pdftypes.py,,31.075678104265286,,112.0,,397.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/psexceptions.py,,100.0,,5.0,,18.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/psparser.py,,18.32072862822159,,145.0,,656.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/runlength.py,,78.70406523619506,,7.0,,39.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/settings.py,,100.0,,0.0,,1.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,pdf2zh/utils.py,,24.972284416858685,,125.0,,816.0,,,,,0.0,Major,Major,YES
1c84f1fe75f18caa55c0ff40f2fdaca1825f03c0,setup.py,,100.0,,0.0,,34.0,,,,,0.0,Major,Major,YES
f719b6115b9638a8d5c6789ab29caae7e163e145,pdf2zh/converter.py,13.397894773303657,13.397894773303657,137.0,137.0,1193.0,1193.0,0.0,0.0,0.0,1.0,0.9953581806270531,Minor,Minor,YES
f719b6115b9638a8d5c6789ab29caae7e163e145,setup.py,100.0,100.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.999660193920135,0.9063570877245081,Minor,Minor,YES
1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,pdf2zh/pdf2zh.py,50.338063867373826,50.41880464795191,24.0,17.0,349.0,349.0,0.08074078057808201,-7.0,0.0,0.9999998211860651,0.6564332131420181,Minor,Major,NO
1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,setup.py,100.0,75.42417966846843,0.0,0.0,34.0,40.0,-24.575820331531574,0.0,6.0,0.9972095489501951,0.7102025237828751,Minor,Minor,YES
cc852707fd782929da0620abbc1d32470e492c98,pdf2zh/__init__.py,97.04976883877337,100.0,0.0,0.0,10.0,2.0,2.950231161226625,0.0,-8.0,0.9694643020629881,0.003408445981277,Minor,Major,NO
cc852707fd782929da0620abbc1d32470e492c98,setup.py,75.42417966846843,75.42417966846843,0.0,0.0,40.0,36.0,0.0,0.0,-4.0,0.998989224433898,0.8362995475390591,Minor,Minor,YES
270c0e200d1fe1666e6057ec94bedb6e0bc434fb,pdf2zh/converter.py,13.397894773303657,14.104312816695021,137.0,137.0,1193.0,1210.0,0.706418043391364,0.0,17.0,1.0,0.9551069041539151,Minor,Minor,YES
270c0e200d1fe1666e6057ec94bedb6e0bc434fb,pdf2zh/pdfinterp.py,5.799190590255807,5.799190590255807,223.0,223.0,1042.0,1042.0,0.0,0.0,0.0,0.9999999403953551,0.999255009887775,Minor,Minor,YES
0fa56a1c75d1dfc6fb33d46a0baa5d69ea047eb5,pdf2zh/__init__.py,100.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.9995450377464291,0.25406637407730703,Minor,Major,NO
291eebd8dcb1206e7e2e5187b13a96d138a6b1b5,pdf2zh/__init__.py,100.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.999580025672912,0.25406637407730703,Minor,Major,NO
291eebd8dcb1206e7e2e5187b13a96d138a6b1b5,pdf2zh/converter.py,14.104312816695021,14.135556090278158,137.0,137.0,1210.0,1210.0,0.031243273583136003,0.0,0.0,1.0,0.9984946553117631,Minor,Minor,YES
6d3f695a516c0cf1caaf1b7e119064c06af020f3,pdf2zh/__init__.py,100.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.999449789524078,0.25406637407730703,Minor,Major,NO
6d3f695a516c0cf1caaf1b7e119064c06af020f3,pdf2zh/converter.py,14.135556090278158,14.093009723046727,137.0,137.0,1210.0,1212.0,-0.04254636723143,0.0,2.0,0.9999246597290031,0.9978208275604531,Minor,Minor,YES
