File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
btop/src/btop.cpp,19,information,missingIncludeSystem,Include file: <algorithm> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <algorithm> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,20,information,missingIncludeSystem,Include file: <csignal> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <csignal> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,21,information,missingIncludeSystem,Include file: <clocale> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <clocale> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,22,information,missingIncludeSystem,Include file: <filesystem> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <filesystem> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,23,information,missingIncludeSystem,Include file: <iterator> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <iterator> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,24,information,missingIncludeSystem,Include file: <optional> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <optional> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,25,information,missingIncludeSystem,Include file: <pthread.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <pthread.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,29,information,missingIncludeSystem,Include file: <thread> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <thread> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,30,information,missingIncludeSystem,Include file: <numeric> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <numeric> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,31,information,missingIncludeSystem,Include file: <ranges> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ranges> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
btop/src/btop.cpp,32,information,missingIncludeSystem,Include file: <unistd.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <unistd.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
